,age,salary
0,55.0,51068.0
1,40.0,50722.0
2,59.0,50583.0
3,51.0,52634.0
4,24.0,32973.0
5,64.0,48411.0
6,54.0,52172.0
7,55.0,51120.0
8,26.0,34907.0
9,40.0,50571.0
10,37.0,47871.0
11,62.0,51264.0
12,49.0,52410.0
13,57.0,50865.0
14,40.0,50838.0
15,30.0,40491.0
16,45.0,52468.0
17,23.0,30702.0
18,57.0,50527.0
19,48.0,51756.0
20,54.0,51685.0
21,36.0,47420.0
22,64.0,48820.0
23,60.0,51000.0
24,55.0,51449.0
25,29.0,38714.0
26,41.0,50917.0
27,22.0,29934.0
28,27.0,35822.0
29,51.0,51987.0
30,54.0,52273.0
31,64.0,49547.0
32,35.0,45267.0
33,37.0,48153.0
34,41.0,51676.0
35,29.0,39004.0
36,26.0,34602.0
37,41.0,50982.0
38,30.0,41353.0
39,50.0,51816.0
40,40.0,51336.0
41,57.0,51856.0
42,52.0,52080.0
43,34.0,45235.0
44,57.0,51603.0
45,56.0,52235.0
46,37.0,49215.0
47,33.0,43107.0
48,51.0,52200.0
49,26.0,35807.0
50,29.0,39280.0
51,20.0,27036.0
52,55.0,52232.0
53,50.0,52080.0
54,52.0,52072.0
55,55.0,51099.0
56,41.0,51000.0
57,46.0,51726.0
58,26.0,36037.0
59,25.0,33448.0
60,50.0,51176.0
61,41.0,50378.0
62,45.0,51301.0
63,54.0,51287.0
64,49.0,52378.0
65,45.0,51197.0
66,45.0,51169.0
67,34.0,44213.0
68,21.0,27463.0
69,40.0,50375.0
70,30.0,40197.0
71,38.0,49728.0
72,58.0,50325.0
73,31.0,41348.0
74,23.0,29909.0
75,33.0,44067.0
76,33.0,44135.0
77,50.0,52993.0
78,45.0,51184.0
79,55.0,51420.0
80,50.0,52196.0
81,38.0,48674.0
82,57.0,51140.0
83,28.0,38220.0
84,21.0,26946.0
85,24.0,32213.0
86,53.0,51343.0
87,41.0,50388.0
88,27.0,36584.0
89,43.0,51157.0
90,27.0,36183.0
91,51.0,52120.0
92,40.0,50187.0
93,37.0,47833.0
94,34.0,44819.0
95,48.0,51575.0
96,36.0,47104.0
97,24.0,32265.0
98,25.0,33731.0
99,63.0,49685.0
100,61.0,49474.0
101,51.0,52647.0
102,32.0,43147.0
103,64.0,49444.0
104,55.0,52054.0
105,52.0,51883.0
106,40.0,50724.0
107,32.0,43937.0
108,24.0,33616.0
109,61.0,49968.0
110,41.0,51020.0
111,29.0,40212.0
112,34.0,44729.0
113,46.0,52207.0
114,28.0,38391.0
115,59.0,50509.0
116,54.0,51883.0
117,52.0,52022.0
118,39.0,49836.0
119,48.0,51740.0
120,46.0,51616.0
121,49.0,52851.0
122,24.0,32387.0
123,39.0,50086.0
124,22.0,29105.0
125,42.0,51541.0
126,35.0,45983.0
127,27.0,36076.0
128,25.0,33396.0
129,46.0,51264.0
130,28.0,37197.0
131,62.0,49496.0
132,46.0,52476.0
133,36.0,47436.0
134,47.0,50904.0
135,21.0,28162.0
136,63.0,49603.0
137,42.0,51762.0
138,55.0,51709.0
139,24.0,32514.0
140,42.0,51390.0
141,42.0,50631.0
142,62.0,49787.0
143,46.0,52117.0
144,41.0,51088.0
145,32.0,43343.0
146,35.0,45888.0
147,43.0,51217.0
148,40.0,50208.0
149,21.0,27089.0
150,57.0,51166.0
151,60.0,49422.0
152,26.0,35200.0
153,45.0,50741.0
154,25.0,33191.0
155,50.0,53048.0
156,33.0,43062.0
157,50.0,52803.0
158,53.0,53381.0
159,55.0,52309.0
160,25.0,33511.0
161,61.0,50563.0
162,30.0,40675.0
163,22.0,27762.0
164,45.0,51760.0
165,37.0,47891.0
166,57.0,51579.0
167,56.0,50941.0
168,34.0,45368.0
169,63.0,49715.0
170,33.0,44026.0
171,43.0,51440.0
172,32.0,42091.0
173,62.0,50003.0
174,27.0,37295.0
175,22.0,28928.0
176,40.0,50912.0
177,65.0,49617.0
178,60.0,50801.0
179,54.0,51241.0
180,60.0,50524.0
181,60.0,49983.0
182,43.0,51551.0
183,34.0,44763.0
184,55.0,52190.0
185,50.0,52858.0
186,37.0,48391.0
187,24.0,33094.0
188,54.0,51644.0
189,32.0,42598.0
190,62.0,50724.0
191,31.0,41761.0
192,26.0,33758.0
193,57.0,51524.0
194,27.0,36522.0
195,28.0,38918.0
196,47.0,52167.0
197,59.0,50619.0
198,29.0,40061.0
199,34.0,44195.0
200,55.0,51211.0
201,64.0,48937.0
202,43.0,50282.0
203,26.0,36267.0
204,21.0,26392.0
205,30.0,41787.0
206,26.0,35228.0
207,50.0,52705.0
208,25.0,34147.0
209,43.0,51036.0
210,51.0,52297.0
211,46.0,52382.0
212,29.0,39493.0
213,56.0,50912.0
214,52.0,51462.0
215,53.0,51951.0
216,26.0,34706.0
217,26.0,34465.0
218,62.0,49859.0
219,38.0,48669.0
220,34.0,44690.0
221,42.0,51575.0
222,50.0,53457.0
223,63.0,49978.0
224,33.0,44687.0
225,62.0,49606.0
226,21.0,26744.0
227,45.0,51740.0
228,49.0,52708.0
229,25.0,33673.0
230,26.0,36201.0
231,39.0,48592.0
232,63.0,50082.0
233,47.0,52191.0
234,62.0,49132.0
235,56.0,51623.0
236,41.0,51240.0
237,55.0,51628.0
238,21.0,27482.0
239,25.0,33752.0
240,57.0,50299.0
241,56.0,51257.0
242,30.0,40660.0
243,44.0,51907.0
244,47.0,52790.0
245,59.0,50070.0
246,47.0,51735.0
247,39.0,49125.0
248,37.0,47611.0
249,39.0,50371.0
250,49.0,52179.0
251,59.0,51019.0
252,40.0,51596.0
253,31.0,42704.0
254,31.0,41091.0
255,54.0,52479.0
256,57.0,51884.0
257,25.0,34058.0
258,23.0,30647.0
259,47.0,51637.0
260,27.0,35489.0
261,57.0,50527.0
262,34.0,44971.0
263,26.0,36253.0
264,61.0,50720.0
265,27.0,37016.0
266,33.0,43793.0
267,27.0,36420.0
268,25.0,33638.0
269,21.0,27615.0
270,22.0,30169.0
271,28.0,37931.0
272,22.0,30005.0
273,47.0,52298.0
274,51.0,52676.0
275,38.0,48294.0
276,34.0,45758.0
277,43.0,51533.0
278,59.0,50408.0
279,58.0,50957.0
280,22.0,29206.0
281,28.0,38853.0
282,31.0,41130.0
283,31.0,42885.0
284,46.0,51867.0
285,39.0,49479.0
286,22.0,29228.0
287,37.0,47312.0
288,44.0,50665.0
289,25.0,33382.0
290,58.0,51989.0
291,22.0,28904.0
292,62.0,49539.0
293,24.0,33251.0
294,58.0,50885.0
295,61.0,50731.0
296,64.0,49225.0
297,56.0,50991.0
298,55.0,51372.0
299,49.0,51146.0
300,55.0,50917.0
301,26.0,35688.0
302,44.0,52214.0
303,43.0,52174.0
304,59.0,51002.0
305,41.0,49996.0
306,37.0,48012.0
307,49.0,52979.0
308,32.0,43802.0
309,26.0,36239.0
310,42.0,51108.0
311,39.0,49107.0
312,30.0,41445.0
313,37.0,47545.0
314,36.0,48270.0
315,35.0,45851.0
316,37.0,48084.0
317,51.0,52365.0
318,33.0,44559.0
319,63.0,50004.0
320,61.0,49767.0
321,42.0,50717.0
322,35.0,46462.0
323,44.0,50794.0
324,58.0,51682.0
325,49.0,51450.0
326,56.0,50968.0
327,44.0,52082.0
328,48.0,52272.0
329,33.0,43309.0
330,53.0,52099.0
331,29.0,39726.0
332,51.0,52139.0
333,59.0,50442.0
334,26.0,35035.0
335,48.0,51856.0
336,24.0,33827.0
337,53.0,51849.0
338,24.0,31723.0
339,62.0,49594.0
340,26.0,36291.0
341,63.0,48736.0
342,56.0,51472.0
343,47.0,51888.0
344,55.0,50745.0
345,56.0,50934.0
346,63.0,49887.0
347,31.0,41970.0
348,47.0,52113.0
349,24.0,33471.0
350,48.0,52244.0
351,28.0,36912.0
352,45.0,51390.0
353,46.0,51721.0
354,41.0,50969.0
355,44.0,51604.0
356,54.0,51781.0
357,56.0,52172.0
358,42.0,51320.0
359,47.0,51471.0
360,62.0,50505.0
361,25.0,34867.0
362,25.0,34178.0
363,24.0,31999.0
364,50.0,52752.0
365,39.0,49732.0
366,55.0,50503.0
367,50.0,52741.0
368,35.0,46460.0
369,60.0,51093.0
370,54.0,51272.0
371,32.0,43287.0
372,36.0,47513.0
373,34.0,45192.0
374,27.0,36793.0
375,27.0,36106.0
376,62.0,49968.0
377,40.0,51076.0
378,37.0,48860.0
379,53.0,51555.0
380,45.0,51647.0
381,62.0,49651.0
382,55.0,51194.0
383,42.0,50428.0
384,37.0,47948.0
385,64.0,49420.0
386,52.0,51963.0
387,63.0,49654.0
388,25.0,34362.0
389,58.0,51551.0
390,49.0,52090.0
391,25.0,33794.0
392,46.0,51926.0
393,51.0,53267.0
394,21.0,25959.0
395,40.0,51392.0
396,57.0,51650.0
397,33.0,43108.0
398,41.0,51300.0
399,40.0,51206.0
400,34.0,44453.0
401,61.0,49778.0
402,55.0,51173.0
403,25.0,33468.0
404,65.0,48889.0
405,60.0,50342.0
406,33.0,43604.0
407,58.0,51563.0
408,25.0,32750.0
409,65.0,48138.0
410,50.0,53097.0
411,49.0,52292.0
412,24.0,32108.0
413,60.0,50334.0
414,21.0,27980.0
415,31.0,41575.0
416,26.0,36026.0
417,55.0,51028.0
418,29.0,39264.0
419,61.0,49099.0
420,50.0,53016.0
421,22.0,28361.0
422,20.0,26325.0
423,22.0,29926.0
424,47.0,52365.0
425,56.0,51283.0
426,31.0,41929.0
427,58.0,50375.0
