,age,profession,salary
0,30.0,2,28228.0
1,22.0,1,30392.0
2,61.0,0,35130.0
3,51.0,5,59418.0
4,41.0,0,34253.0
5,45.0,3,63196.0
6,31.0,1,48785.0
7,38.0,0,38093.0
8,34.0,5,49758.0
9,57.0,1,54906.0
10,53.0,2,26021.0
11,33.0,1,48740.0
12,54.0,4,45598.0
13,24.0,5,51370.0
14,29.0,2,24923.0
15,25.0,4,26187.0
16,31.0,2,24804.0
17,30.0,3,43197.0
18,61.0,4,47149.0
19,35.0,5,50099.0
20,36.0,3,61648.0
21,24.0,2,20492.0
22,23.0,2,24979.0
23,30.0,5,58500.0
24,26.0,2,20847.0
25,36.0,2,22344.0
26,28.0,4,38847.0
27,28.0,5,43509.0
28,49.0,2,25963.0
29,62.0,5,60292.0
30,21.0,5,45497.0
31,52.0,2,25681.0
32,50.0,1,55583.0
33,46.0,1,55853.0
34,51.0,0,41102.0
35,43.0,1,54376.0
36,62.0,0,34382.0
37,27.0,1,39084.0
38,41.0,5,58349.0
39,49.0,1,55559.0
40,61.0,2,28255.0
41,42.0,2,27035.0
42,64.0,3,62202.0
43,50.0,3,61636.0
44,51.0,3,70385.0
45,57.0,0,39968.0
46,53.0,1,55168.0
47,44.0,5,56865.0
48,55.0,5,54107.0
49,22.0,0,19671.0
50,62.0,3,60781.0
51,57.0,0,35435.0
52,49.0,3,65420.0
53,23.0,0,22884.0
54,33.0,4,35923.0
55,31.0,5,50795.0
56,32.0,0,30750.0
57,50.0,2,29222.0
58,59.0,1,56744.0
59,51.0,1,61569.0
60,37.0,4,45621.0
61,64.0,0,42979.0
62,59.0,0,39419.0
63,51.0,2,26390.0
64,38.0,1,51034.0
65,51.0,5,60419.0
66,38.0,2,23722.0
67,27.0,3,50078.0
68,48.0,0,31316.0
69,51.0,2,24732.0
70,36.0,1,51743.0
71,62.0,2,27760.0
72,58.0,1,55222.0
73,46.0,0,36836.0
74,23.0,3,37759.0
75,21.0,3,36957.0
76,49.0,3,58692.0
77,57.0,2,30411.0
78,43.0,3,60454.0
79,21.0,4,27589.0
80,27.0,1,40540.0
81,30.0,1,39354.0
82,48.0,4,49625.0
83,42.0,0,37306.0
84,25.0,2,21006.0
85,43.0,3,64083.0
86,59.0,3,57549.0
