,age,edu_lvl,salary
0,55.0,1,56659.65938670559
1,40.0,0,50378.81089244227
2,59.0,1,57571.066691055035
3,51.0,2,62562.13569422589
4,24.0,0,32440.26904966123
5,64.0,0,49371.5738655516
6,54.0,0,52086.862813501466
7,55.0,0,51074.6190145307
8,26.0,1,37099.91945223882
9,40.0,2,59421.91425092834
10,37.0,0,46927.716445220976
11,62.0,1,56654.50102081723
12,49.0,2,61338.28577385869
13,57.0,1,56674.689335993564
14,40.0,0,50154.222510646236
15,30.0,0,40697.616649347794
16,45.0,0,52392.28074165936
17,23.0,0,31067.501173126264
18,57.0,0,51626.98060195581
19,48.0,1,56381.73034835402
20,54.0,1,56563.077090514984
21,36.0,2,54314.338563428464
22,64.0,2,62489.517635312615
23,60.0,0,50043.108019601015
24,55.0,1,56707.813571896106
25,29.0,2,44365.562599201585
26,41.0,0,51979.489420448255
27,22.0,2,33216.612811092156
28,27.0,0,36532.08596159787
29,51.0,1,57468.10201152027
30,54.0,2,63052.8102267369
31,64.0,1,55316.1791257759
32,35.0,1,49712.485644951594
33,37.0,1,50698.39509091516
34,41.0,1,55865.363005741696
35,29.0,2,43686.03547210239
36,26.0,2,40025.16840755965
37,41.0,0,52023.726862876494
38,30.0,1,44580.64083214159
39,50.0,2,62710.62114432063
40,40.0,1,54114.81241336829
41,57.0,1,56385.547495655555
42,52.0,2,63172.19791051558
43,34.0,2,52103.9683802587
44,57.0,0,51454.786410943474
45,56.0,2,62536.89690624038
46,37.0,2,55782.966725622675
47,33.0,0,44358.0954920987
48,51.0,2,62629.676517227985
49,26.0,1,38100.903427245656
50,29.0,0,38820.27116841978
51,20.0,1,28654.62149817531
52,55.0,1,57178.85345706007
53,50.0,1,57176.44111208644
54,52.0,0,52743.13795942701
55,55.0,2,62621.90624953331
56,41.0,1,55294.50189435387
57,46.0,0,52280.95086080445
58,26.0,1,38523.375011485834
59,25.0,1,36554.540757184885
60,50.0,0,52390.08081711325
61,41.0,2,60411.59732387161
62,45.0,1,55992.005787481365
63,54.0,2,62872.98591949704
64,49.0,2,61954.88395682315
65,45.0,0,51964.01776817306
66,45.0,0,52391.35999421668
67,34.0,2,51257.51608189667
68,21.0,1,30460.58074761327
69,40.0,0,50785.06115571119
70,30.0,0,40175.2709922831
71,38.0,1,53851.21736372909
72,58.0,1,57015.280068130196
73,31.0,0,41310.001898184506
74,23.0,0,30733.111173430727
75,33.0,1,46512.79283005232
76,33.0,1,47518.423878008274
77,50.0,0,52253.32455712848
78,45.0,0,52135.62302281363
79,55.0,0,51205.07444027571
80,50.0,1,57852.76888716363
81,38.0,0,49584.638836097685
82,57.0,0,50986.191964299105
83,28.0,2,43771.161122139274
84,21.0,2,31204.312739607405
85,24.0,1,33977.200474987694
86,53.0,0,52426.815412966294
87,41.0,2,58199.862406065615
88,27.0,2,43174.62517401879
89,43.0,2,59942.332146141154
90,27.0,0,35672.43957499983
91,51.0,1,56892.326060911495
92,40.0,2,58209.917002533475
93,37.0,0,48337.39665069348
94,34.0,0,43904.586926158314
95,48.0,0,52505.45201890047
96,36.0,1,50757.31214666604
97,24.0,1,34274.970575012405
98,25.0,0,34376.39585671815
99,63.0,2,62483.21617434123
100,61.0,1,56895.675219654266
101,51.0,0,51885.74662758794
