,age,salary
0,55.0,53254.0
1,40.0,52029.0
2,59.0,50617.0
3,51.0,52181.0
4,24.0,29889.0
5,64.0,50737.0
6,54.0,51719.0
7,55.0,50214.0
8,26.0,41717.0
9,40.0,50477.0
10,37.0,50625.0
11,62.0,50507.0
12,49.0,52642.0
13,57.0,50187.0
14,40.0,51038.0
15,30.0,41304.0
16,45.0,51981.0
17,23.0,29937.0
18,57.0,50479.0
19,48.0,53264.0
20,54.0,52225.0
21,36.0,50338.0
22,64.0,50625.0
23,60.0,51038.0
24,55.0,50681.0
25,29.0,40951.0
26,41.0,50276.0
27,22.0,29971.0
28,27.0,41617.0
29,51.0,51883.0
30,54.0,52378.0
31,64.0,50306.0
32,35.0,40651.0
33,37.0,51124.0
34,41.0,51222.0
35,29.0,41216.0
36,26.0,40512.0
37,41.0,50177.0
38,30.0,41131.0
39,50.0,52247.0
40,40.0,51919.0
41,57.0,51442.0
42,52.0,53495.0
43,34.0,40530.0
44,57.0,50785.0
45,56.0,50935.0
46,37.0,51379.0
47,33.0,40823.0
48,51.0,53140.0
49,26.0,41000.0
50,29.0,41064.0
51,20.0,29231.0
52,55.0,50822.0
53,50.0,52370.0
54,52.0,52732.0
55,55.0,50618.0
56,41.0,51090.0
57,46.0,52477.0
58,26.0,41393.0
59,25.0,40901.0
60,50.0,51772.0
61,41.0,51284.0
62,45.0,52095.0
63,54.0,51838.0
64,49.0,51989.0
65,45.0,51142.0
66,45.0,52452.0
67,34.0,39934.0
68,21.0,29808.0
69,40.0,51585.0
70,30.0,40774.0
71,38.0,50917.0
72,58.0,51021.0
73,31.0,41398.0
74,23.0,30511.0
75,33.0,39614.0
76,33.0,41867.0
77,50.0,52818.0
78,45.0,53731.0
79,55.0,50109.0
80,50.0,51618.0
81,38.0,51004.0
82,57.0,50362.0
83,28.0,41327.0
84,21.0,30537.0
85,24.0,29956.0
86,53.0,52380.0
87,41.0,51261.0
88,27.0,40872.0
89,43.0,50830.0
90,27.0,41519.0
91,51.0,53130.0
92,40.0,51542.0
93,37.0,50916.0
94,34.0,39930.0
95,48.0,52426.0
96,36.0,50621.0
97,24.0,29935.0
98,25.0,40664.0
99,63.0,50490.0
100,61.0,49980.0
101,51.0,51860.0
102,32.0,41611.0
103,64.0,50015.0
104,55.0,50500.0
105,52.0,52977.0
106,40.0,51457.0
107,32.0,41397.0
